# userId,movieId,rating
299,3218,5.0
564,3218,3.0
608,3218,5.0
30,4941,2.0
185,4941,2.0
294,4941,1.5
346,4941,5.0
463,4941,2.0
577,4941,4.0
624,4941,5.0
33,5106,2.0
128,5106,4.0
165,5106,1.5
598,5106,1.0
624,5106,0.5
652,5106,4.5
39,611,5.0
119,611,1.0
177,611,3.0
285,611,4.0
308,611,2.0
401,611,5.0
564,611,1.0
43,1612,4.0
312,1612,2.0
412,1612,1.0
564,1612,4.0
608,1612,2.0
652,1612,5.0
46,8387,5.0
217,8387,3.0
353,8387,0.5
577,8387,1.0
624,8387,1.5
643,8387,0.5
56,48322,5.0
187,48322,4.5
205,48322,0.5
423,48322,2.5
475,48322,2.5
624,48322,4.0
56,65188,5.0
133,65188,4.0
262,65188,0.5
433,65188,4.5
547,65188,4.0
62,114662,3.0
72,114662,1.0
73,114662,4.0
97,114662,1.0
457,114662,0.5
475,114662,3.5
547,114662,4.0
553,114662,4.0
624,114662,4.0
73,1590,4.5
83,1590,5.0
90,1590,5.0
150,1590,4.5
152,1590,4.5
157,1590,3.5
177,1590,1.0
185,1590,2.0
199,1590,4.5
213,1590,2.5
232,1590,4.0
243,1590,3.5
306,1590,2.0
311,1590,0.5
388,1590,3.0
423,1590,1.0
439,1590,2.0
461,1590,2.0
537,1590,1.0
550,1590,1.0
564,1590,5.0
597,1590,2.0
610,1590,4.0
73,2315,2.5
195,2315,1.0
227,2315,5.0
457,2315,1.5
564,2315,5.0
617,2315,3.0
73,66297,3.5
298,66297,5.0
480,66297,4.5
546,66297,5.0
620,66297,0.5
624,66297,3.0
77,47423,0.5
133,47423,1.0
187,47423,3.0
472,47423,4.0
547,47423,4.0
648,47423,4.0
78,3908,4.5
128,3908,2.0
529,3908,2.0
564,3908,5.0
665,3908,1.0
85,255,5.0
168,255,1.0
285,255,2.0
564,255,2.0
605,255,1.0
86,72,4.0
159,72,0.5
254,72,4.0
353,72,2.5
388,72,5.0
509,72,3.0
91,94466,4.0
244,94466,0.5
262,94466,3.0
270,94466,5.0
380,94466,5.0
450,94466,5.0
620,94466,3.5
102,3342,3.0
242,3342,5.0
388,3342,5.0
430,3342,5.0
472,3342,4.0
564,3342,5.0
609,3342,1.0
103,71,1.0
150,71,3.0
311,71,1.5
461,71,0.5
496,71,5.0
564,71,2.0
652,71,4.0
119,2365,1.0
167,2365,2.0
232,2365,1.0
401,2365,5.0
564,2365,5.0
128,5387,4.0
165,5387,1.0
374,5387,5.0
418,5387,4.5
439,5387,2.0
136,1099,4.5
232,1099,4.0
268,1099,4.0
311,1099,2.0
405,1099,4.5
472,1099,4.0
531,1099,1.5
537,1099,5.0
547,1099,4.0
557,1099,0.5
605,1099,5.0
136,6535,3.5
166,6535,4.0
262,6535,0.5
294,6535,4.0
311,6535,0.5
452,6535,0.5
150,1005,0.5
187,1005,5.0
247,1005,1.0
259,1005,4.0
367,1005,3.0
518,1005,3.0
564,1005,1.0
157,2810,4.0
257,2810,0.5
423,2810,4.0
430,2810,5.0
443,2810,5.0
608,2810,4.0
160,3430,4.0
263,3430,3.5
529,3430,1.0
547,3430,0.5
564,3430,4.0
575,3430,1.0
605,3430,4.0
165,3973,0.5
452,3973,1.0
564,3973,5.0
609,3973,5.0
626,3973,3.0
176,3054,1.0
185,3054,3.0
213,3054,2.5
294,3054,4.5
380,3054,1.0
381,3054,5.0
472,3054,1.0
176,3997,1.0
243,3997,0.5
294,3997,3.5
346,3997,1.0
384,3997,2.0
398,3997,5.0
475,3997,0.5
577,3997,3.0
580,3997,0.5
665,3997,2.0
212,5047,0.5
294,5047,3.0
353,5047,1.0
494,5047,1.0
580,5047,4.5
232,3090,5.0
388,3090,5.0
472,3090,3.0
510,3090,3.0
547,3090,2.0
609,3090,1.0
242,2570,5.0
330,2570,3.0
405,2570,4.0
411,2570,5.0
547,2570,0.5
306,4424,2.0
348,4424,1.0
383,4424,3.0
436,4424,5.0
510,4424,5.0
547,4424,3.5
587,4424,4.5
358,1855,1.0
518,1855,3.0
564,1855,2.0
605,1855,1.0
646,1855,5.0
452,3813,3.0
547,3813,2.0
558,3813,5.0
564,3813,5.0
605,3813,1.0
609,3813,1.0
